price,location,name
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
52500,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
180000,朝阳-东三环京广桥东北角（CCTV正北50米）,首创天禧
55000,通州-嘉创二路与兴光二街路口西南角,润枫领尚
6200,朝阳-东四环北路七号,东山condo
1920,朝阳-北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道
910,房山-阎村镇紫码路西行1500米,天恒乐墅
3000,朝阳-京密路与顺黄路交叉路口往西200米,景粼原著
8800,武清-汉沽港高王路东侧,尚港华府
8000,东城-东城北河沿大街甲77号(中国进出口银行-北京分行西南100米),北河沿甲柒拾柒号
14000,武清-京津高速泗村店东出口右转直行约2公里处,鑫苑汤泉世家
25000,涿州-涿州新兴产业示范区涿州高铁东站西南方向200米,华融现代城
21000,武清-武清高村镇京津高速（二线）牛镇出口东行100米,卓达镜湖
135000,西城-西城区德外大街18号,中骏天宸
12800,武清-下朱庄街道办事处文汇路西侧,自在城
15000,武清-武清京津高速泗村店出口右转直行1800米，大东公路8号,绿洲湾8号
880,武清-大黄堡（京津高速武清泗村店东出口）,翠金湖美墅岛
7500,武清-曹子里乡杨六路北侧,津门及第
15000,怀来县-延庆石峡关景区西侧（京藏高速康庄65出口）,永恒长城里
7400,武清-天和城天和路与藕甸道交口,南湖红星国际广场
16000,武清-下朱庄街天和路西侧,润泽尚苑
125000,朝阳-朝阳公园东侧东四环姚家园路,泛海国际
13000,武清-武清中央水城滨河道与泉雍路交口东侧,亚泰澜公馆
26000,武清-京津公路西侧（广贤路与四纬路交口）,保利香颂湖
13000,武清-武清区南湖风景区天和道东侧,保利溪湖林语
72000,朝阳-京密路与顺黄路交叉路口往西200米,景粼原著
12000,武清-龙凤新城大东路北侧圣水湖畔,碧桂园忆西湖
15000,武清-武清京津第二高速牛镇出口东行2公里南侧,卓达太阳城
13000,武清-武清区梅厂镇武宁路与津围公路交口处,梅尚国际住区
1400,顺义-顺平路燕京桥M15号线石门站南1000米,中海国际公馆
20000,顺义-机场高速杨林出口西行800米,恒大丽宫
14000,武清-京津公路沿线嘉河道123号,万城聚豪
10000,武清-下朱庄街京津公路东侧,东澳广场
934,顺义-牛栏山镇昌金路与右堤路交界处,首创禧瑞山
7800,武清-杨村镇胜利路与大桥道交口,宸峰家园
11500,武清-上北新区梅石路与广贤路交口,亿利华彩城
1550,昌平-昌平地铁南邵站西100米,泰禾昌平拾景园
3800,大兴-亦庄南海子公园北侧500米,棠颂别墅
4500,昌平-北七家镇定泗路88号,北京壹号庄园
2300,昌平-北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东,温哥华森林
60000,丰台-丰台区花乡四合庄汽车博物馆西路,保利庠么蠖蓟
1700,大兴-博兴西路与泰河三街交叉口（南海子公园东南1千米）,金茂逸墅
15000,怀来县-怀来县东花园镇新兴产业示范区规划展馆103室,八达岭孔雀城
16000,武清-翠亨路与泉水道交口,泰合府
1700,昌平-昌平北七家镇定泗路与七北路交叉口东行200米,国瑞熙墅
1200,大兴-采育镇采凤路与采辛路交口东侧,兴创荣墅
820,怀来县-古崖居西侧,奥伦达部落
700,通州-京通快速路八里桥出口向南1000米,京贸国际公馆
1800,海淀-安宁庄西路与小营西路交汇处西南侧,合景映月台
67000,大兴-北京五环南海子公园西,中铁华侨城和园
55000,丰台-丰台区花乡四合庄汽车博物馆西路,保利庠么蠖蓟
20000,武清-京津高铁武清站东南500米,金泰丽舍
28000,房山-窦店镇汇丰街3号院31号,汇金世界城
350,大兴-大兴区黄亦路饮鹿池桥东1公里,首开龙湖天琅
630,顺义-中粮祥云小镇北侧800米,阳光城檀悦
950,通州-东五环京津高速东石村桥东南700米(京津高速第一出口五百米),翡翠四季
1000,通州-京通快速北关桥东北角,万科大都会滨江
14500,武清-天津武清区南湖生态区天和路东侧,万科南湖郡
51000,房山-长阳镇城铁篱笆房站北侧800米,五和万科长阳天地
23000,崇礼县-张家口市崇礼区万隆路口南,富龙四季小镇
15000,朝阳-东苇路3号,九章别墅
1500,通州-东北五环外温榆河墅区（伯爵园高尔夫西侧）,融创千章墅
800,昌平-朱辛庄地铁站东侧50米。距离京藏高速约2公里，京新高速约4.5公里,TBD住总万科天地
1872,大兴-大兴孙村镇空港生活区，盛顺街与海鑫南路交叉口西北角,华远和墅
56000,大兴-地铁4号线义和庄站上盖（念坛公园北侧）,万科天地
35000,"房山-房山线地铁苏庄站,共创大厦一层",房山超级蜂巢
24000,"房山-房山线地铁苏庄站,共创大厦一层",房山超级蜂巢
71000,通州-通州区果园环岛以东，玉桥西路与运河西大街交汇处,通州万国城MOMA
61000,昌平-昌平区小汤山镇（未来科技城北区）,华润未来城市
76000,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
16000,永清-京台高速永清出口273省道东侧1.5公里,国瑞生态城
2700,大兴-4号线西红门站往东800米,鸿坤林语墅
8500,顺义-火沙路与高白路交汇处向南50米路东,清锦源
7900,朝阳-东北五环南影路，中国电影博物馆东北角,北京红廷别墅
1500,大兴-博兴西路与泰河二街交叉口东南角,北京城建海梓府
3000,大兴-芳林路4号院,远洋天著三期
85000,朝阳-朝阳区日坛北路19号,日坛钻宸
55000,丰台-丰台区西南四环总部基地核心区丰台万达广场东侧400米,丰台金茂广场
35000,房山-地铁房山线良乡大学城北站北侧500米(东环路与文昌东路交汇处),金隅糖+
65000,门头沟-高家园环路1号院,西山艺境华墅
20000,亦庄开发区-经海一路与科创十二街交汇处向东200米,北京经开壹中心
19000,武清-武清区京津公路华北城佳汇摩尔营销中心,佳汇摩尔
60000,亦庄开发区-亦庄经济技术开发区三海子东路南海子公园路北,中海墅
40000,大兴-新源大街与永大路交汇口（地铁4号线大兴生物医药基地站B口北行）,鑫苑鑫都汇
35000,通州-通州光机电一体化产业基地嘉创路10号,枢密院
16800,武清-武清新城京津公路东运通广场北侧（武清客运站对面）,泽信金汇湾
45000,大兴-新源大街地铁4号线义和庄站北200米,恒大未来城
14000,抚宁-北戴河新区洋河入海口西行200米,Seatopia蔚蓝海岸
65000,丰台-王佐镇长青路南侧,领秀翡翠山
76888,门头沟-西长安街沿线与六环交汇处西南1.2公里处,中国铁建万科翡翠长安
2400,昌平-皇家汤泉行宫原址，顺沙路99号院,御汤山熙园
1600,大兴-榆垡镇京开高速（106国道段）东侧、榆垡路北侧,首开璞v墅
3000,顺义-高丽营镇于庄机场北线高速与高白路交汇处向北1公里路西,万科观承别墅
30000,大兴-芦求路与黄良路东北角,联港城市广场
40000,门头沟-龙泉镇新桥大街西侧，区政府正对面,华远裘马四季
67500,门头沟-龙泉镇新桥大街西侧，区政府正对面,华远裘马四季
42500,顺义-新城右堤路与昌金路交汇处向北200米,顺鑫颐和天Z
57000,昌平-未来科学城核心位置,东方蓝海中心
2000,亦庄开发区-文化园西路6号院,林肯公园二期
16000,平谷-京平高速马坊出口沿密三路向南第二个路口左转即到,新华联YOYO新天地
65000,丰台-丰台区宋家庄地铁站南200米,北京金茂府
67000,顺义-天竺镇薛大人庄村,誉天下盛寓
21000,武清-天津市武清区建设南路水城展馆向南约500米,鸿坤原乡半岛
36000,大兴-庞各庄龙熙瓦德拉玛庄园顺景路8号售楼处,龙熙瓦德拉玛庄园
4000,朝阳-五环七棵树出口北行300米,首城珑玺
1932,顺义-潮白河畔右堤路与华中路交叉口东,华润八号院
30000,通州-延滨河北路向南500米路东,长安运河
51000,门头沟-莲石路向西至石门营环岛向北1.5公里,华润悦景湾
45000,亦庄开发区-经海一路与科创十二街交汇处向东200米,北京经开壹中心
40000,门头沟-新城核心区永定镇,中国铁建梧桐汇
45000,门头沟-北京市门头沟区石门营环岛北侧,首开保利欢乐大都汇
82000,亦庄开发区-亦庄经济技术开发区三海子东路南海子公园路北,中海墅
52000,门头沟-长安街西沿线，距阜石路1.8公里，距莲石路1.5公里,华润西山墅
10000,北戴河-北戴河区戴河镇金城路与戴河支路交叉口东南侧,富力和园
70000,丰台-西局东方威尼斯酒店西侧(西局玉璞园东侧),西宸原著
45000,门头沟-长安街西延线与滨河路南延交汇处（东南侧）,远洋新天地
87000,通州-新华北路东侧与永顺东街交汇处,保利大都汇
19800,燕郊-22号线燕顺路站旁，徐尹路大桥旁,首尔甜城・39街区
45000,燕郊-22号线燕顺路站旁，徐尹路大桥旁,首尔甜城・39街区
61000,昌平-京承高速北七家出口800米路南,未来公元
22000,崇礼县-崇礼西湾子镇张承高速崇礼北出口,奥雪小镇
50000,顺义-南法信顺平路与南焦路交汇处向南50米路东,炫立方
91300,石景山-八大处公园西南800米,远洋天著春秋
39000,大兴-大兴西红门宏康路与欣宁街交汇处,兴创国际中心
80000,丰台-南四环地铁新宫站南500米,中粮天恒天悦壹号
440,密云-京承高速司马台长城出口向北2公里(古北水镇国际旅游度假村内),龙湖长城源著
830,通州-京津高速过台湖收费站第一个出口即到,首开缇香墅
33000,密云-密云区密云水库旁,万科弗农小镇
60000,门头沟-北京市门头沟区石门营环岛北侧,首开保利欢乐大都汇
2100,亦庄开发区-大兴亦庄南海子公园东侧,棠颂别墅Z庐
30000,房山-地铁良乡大学城站向东300米路南,首创紫悦台
51500,大兴-新源大街地铁4号线义和庄站北200米,恒大未来城
50000,房山-长阳镇城铁篱笆房站北侧800米,五和万科长阳天地
400,房山-地铁阎村站地铁旁、双公园（规划中）,天恒京西悦府
13000,下花园-迎宾大街南侧，滨河西路东侧，紧邻戴家营河西侧,大成玉墅湾
16000,永清-京台高速永清出口273省道东侧1.5公里,国瑞生态城
15000,涿州-京港澳高速影视城出口影视城路东行2公里,九里京城
63000,通州-东五环化工桥向东京津高速第一出口（通黄出口2A大兴亦庄方向），通马路向南500米路东,首开万科城市之光
79000,朝阳-肖村地铁站D口,首开住总熙悦安郡
10000,怀来县-八达岭高速沙城东出口东约3公里,京北恒大国际文化城
12000,海港-海港区万科假日风景A区,万科假日风景
30000,燕郊-京哈公路与迎宾南路交叉口向南3公里路东,天洋城4代
69800,通州-东五环化工桥京津高速2A出口南行1000米（环勃海总部基地）,台湖银河湾
80000,大兴-南四环榴乡桥东南角800米,中冶德贤公馆
100000,丰台-北京西南四环科丰桥东南（地铁九号线丰台科技园 C口 ）,万达广场
86000,丰台-丰台菜户营桥西（丽泽路与菜户营路交汇处西南角）,首创天阅公馆
30000,顺义-顺义区站前街3号院1号楼,顺鑫寰宇中心
33000,昌平-昌平未来科技城,绿地中央广场
28000,顺义-顺义区站前街3号院1号楼,顺鑫寰宇中心
55000,通州-运河CBD核心区6号线北运河西站（京杭大运河西岸）,富力运河十号
10000,北戴河-北戴河高铁站东侧约800米，站南大街路北，树人中学对面,天洋万科北戴河小镇
19000,北戴河-北戴河区戴河镇金城路与戴河支路交叉口东南侧,富力和园
25000,安次-安次区龙泽路西龙河北岸,鸿坤理想澜湾
50000,房山-京良路长阳地铁站南侧,首开熙悦双子座
46000,通州-台湖镇铺外路（北京图书城北侧）,东亚尚品台湖
27000,密云-密云区密云水库旁,万科弗农小镇
35000,顺义-新城右堤路与昌金路交汇处向北200米,顺鑫颐和天Z
16000,固安-大兴野生动物园向南3公里，106国道路东,永定河孔雀城英国宫
68000,亦庄开发区-亦庄经济开发区博兴西路与泰河三街交叉口 (南海子公园东南）,亦庄金茂府
80000,通州-永顺镇北关东南角,世界侨商中心
70000,通州-通州新城过东关大桥通胡大街南200米,M5运河1号
16000,香河-京哈告诉香河出口北800米，大香线东侧,鸿坤原乡溪谷
30000,怀来县-八达岭高速东花园出口西南15公里，官厅水库东南岸,拉斐水岸
55000,房山-地铁良乡大学城站东二百米,远洋新仕界
63000,大兴-博兴西路与泰河三街交叉口（南海子公园东南1千米）,金茂逸墅
780,昌平-昌平地铁南邵站西100米,泰禾昌平拾景园
43000,丰台-北京西南四环科丰桥东南（地铁九号线丰台科技园 C口 ）,万达广场
37000,通州-永乐店镇t小路与恒业二街交汇处,K2十里春风
55000,门头沟-长安街西延线南约300米,北京城建・龙樾西山
36000,昌平-京承高速北七家出口向西800米路南,未来中心
66500,门头沟-龙泉镇城子大街东侧,中骏西山天Z
35000,大兴-南中轴路西侧,首创悦都汇
65000,通州-滨河中路和新华大街交汇处西南角,合景中心
180,下花园-张家口市下花园区环府路,诺丁山公馆
9500,北戴河-站南大街与富强路交汇处(北戴河火车站东800米),香邑澜湾
17000,北戴河-站南大街与富强路交汇处(北戴河火车站东800米),香邑澜湾
20000,霸州-霸州市国税局南侧，106国道西侧；106国道与112国道交汇路口西北角,碧桂园南山郡
42000,顺义-顺平路燕京桥M15号线石门站南1000米,中海国际公馆
32000,朝阳-久文路6号院,宇达创意中心
100000,门头沟-门头沟路9号（区政府对面）,中昂时代广场
24000,廊坊经济技术开发区-华祥路28号（原外企联谊中心附近）,宏泰美树
13000,香河-京哈高速香河出口东1公里,荣盛白鹭岛
47000,通州-通州新城过东关大桥通胡大街南200米,M5运河1号
33000,密云-密云城后街与新东路交叉口北500米,首创禧悦府
170000,朝阳-农展馆北路8号,北京壹号院
48000,房山-长阳地铁站北侧50米,FCC中央城
12000,涞水-距京昆高速涞水西出口800米,北京恒大京南半岛
750,通州-东五环京津高速东石村桥东南700米(京津高速第一出口五百米),翡翠四季
47000,顺义-中央别墅北区京承高速11号出口,尚o壹
50000,顺义-南法信顺平路与南焦路交汇处向南50米路东,炫立方
37000,顺义-南法信镇顺平路与南焦路交汇处东北角50米处,宏远临空总部港
46000,通州-运河CBD核心区6号线北运河西站（京杭大运河西岸）,富力运河十号
25000,大兴-京开高速庞各庄出口南1000米,富力丹麦小镇
60000,丰台-王佐镇青龙湖公园东1500米,亿城燕西华府
43000,石景山-石景山西长安街与古城大街交汇处西南角，地铁1号线古城站南200米路西,绿地环球文化金融城
100000,石景山-石景山区银河大街,泰禾长安中心
24000,香河-香河京哈（京沈）高速香河东出口右转即达,大爱城
14000,霸州-霸州市国税局南侧，106国道西侧；106国道与112国道交汇路口西北角,碧桂园南山郡
21000,霸州-霸州市国税局南侧，106国道西侧；106国道与112国道交汇路口西北角,碧桂园南山郡
28800,平谷-新平南路与林荫南街交汇处向西100米,都丽华府
15000,怀来县-怀来县东花园镇新兴产业示范区规划展馆103室,八达岭孔雀城
15000,武清-新城南东路（新一中东侧）,泽信公馆
18000,廊坊经济技术开发区-廊坊市开发区金运路2号,北京荟
65000,门头沟-门头沟长安街延线南约500米,西山燕庐
31000,大兴-大兴南五环外金星侨东侧金苑路与广阳大街交汇处,文化都汇
16000,安次-安次区龙泽路西龙河北岸,鸿坤理想澜湾
20000,怀来县-古崖居西侧,奥伦达部落
18000,涿州-西南郊琉璃河镇南京都旅游大道1号,京都颐和城
1650,顺义-顺义奥运水上公园东侧,水色时光三区
175,昌平-朱辛庄地铁站东侧50米。距离京藏高速约2公里，京新高速约4.5公里,TBD住总万科天地
65000,大兴-宏福路与欣荣南北大街交汇西南侧,鸿坤跃界
45000,大兴-宏福路与欣荣南北大街交汇西南侧,鸿坤跃界
100000,"朝阳-平房乡姚家园村,姚家园路与青年路交叉路口西南",达美中心广场
23000,顺义-顺平路566号航港大厦南侧,航城广场
85000,朝阳-朝阳区望京街10号院,方恒时代中心
130000,朝阳-朝阳区工人体育场北路9号,铜雀
350,丰台-北京市丰台区芳菲路与看丹路的十  字路口，10号线和房山线延长线交汇点――首经贸地铁站B口,龙湖西宸广场
150000,朝阳-广渠门外大街7号院,富力城E区
45000,门头沟-大峪南路与黑山大街交汇处向北600米处西侧,金泰丽湾悦栖山
68600,昌平-地铁沙河站向南800米处,北科建泰禾丽春湖院子
75000,大兴-兴亦路京开高速东侧,绿地海珀云翡
1250,大兴-大兴区黄亦路饮鹿池桥东1公里,首开龙湖天琅
40000,大兴-京开高速西红门出口西行1000米北侧,嘉悦广场
77000,海淀-西北二环外高粱桥斜街北侧，慈献寺街西侧,融汇国际大厦
19800,涿州-范阳路与教军场街交汇处东北角,金品时代
27000,霸州-霸州国际温泉公园南侧500米,塞纳庄园
26000,武清-京津高速永乐站收费口前行300米,首创国际半岛
55000,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
17000,易县-梁各庄镇旺隆湖东北岸翠径路东侧,翠湖院子
17000,易县-梁各庄镇旺隆湖东北岸翠径路东侧,翠湖院子
11000,涞水-张坊南行5公里,北京华银城
99800,朝阳-五环七棵树出口北行300米,首城珑玺
35000,滦平县-古北水镇古北口检查站东,长城脚下饮马川
120000,朝阳-广渠路10号,富力十号
17500,涞水-距京昆高速涞水西出口800米,北京恒大京南半岛
25000,大兴-南中轴路西侧,首创悦都汇
90000,大兴-京开高速西红门出口西行1000米北侧,嘉悦广场
65000,燕郊-东燕郊开发区燕顺路(815总站北侧500米),首尔甜城MOBO公寓
110000,西城-西城区德外大街18号,中骏天宸
33000,房山-良乡拱辰街道(瑞雪春堂东侧，地铁良乡大学城西800米）,恒大国际广场
35000,顺义-顺平路566号航港大厦南侧,航城广场
42000,房山-地铁良乡大学城站向东300米路南,首创紫悦台
80000,通州-新华大街与新华南路交汇口西南600米,富力金禧花园
13000,武清-武清下朱庄街广贤路与信义道交口,远洋红熙郡
85000,门头沟-长安街西延线与滨河路南延交汇处（东南侧）,远洋新天地
10750,涞水-张坊镇西行2公里,华银天鹅湖国际生态城
21000,密云-北京市密云区顺密路与潮河交汇处西北角,益田远洋万和风景
79000,大兴-南四环榴乡桥与德贤路交汇处东南角800米处,首开保利熙悦诚郡
36000,顺义-张镇顺平路与七大路交汇处向西600米路南,浅山香邑
80000,海淀-海淀海淀中街15号,前海中金公馆
1350,昌平-昌平京藏高速北安河出口向东约5公里,北京城建・龙樾华府
50000,大兴-西红门欣荣北街与鸿宏福路交汇东北角,鸿坤新都荟
60000,朝阳-广渠门外大街7号院,富力城19街
29555,房山-房山周口店镇政府东,天恒摩墅
75000,丰台-葛家村西里1号(丰桥路2号院),融达国际
100000,丰台-葛家村西里1号(丰桥路2号院),融达国际
23000,固安-新源街与永康路交汇处西南角200米处,金海太阳公园
22000,香河-香河京哈（京沈）高速香河东出口右转即达,大爱城
9500,武清-汊沽港京津科技谷康园道北侧，京沪高速东侧,中浩智城
16500,武清-龙凤新城大东线北,恒大山水城
16000,武清-京津高铁武清站东南500米,金泰丽舍
49000,石景山-石景山区银河大街,泰禾长安中心
33000,大兴-大兴西红门镇广平大街,星光视界中心
29000,通州-通州光机电一体化产业基地嘉创路10号,枢密院
100000,朝阳-北京市朝阳区慈云寺危改小区二期（6号楼）,中弘大厦
81000,通州-通燕高速通州新城（耿庄桥）出口南200米月亮河河滨路1号,月亮河七星公馆
45000,顺义-京承高速11出口向东900米路北,首创禧瑞墅
50000,昌平-常兴庄组团北部地区B地块居住项目,金科天玺
85000,朝阳-东五环七棵树出口沿东坝中街向东1500米,利锦府
63000,大兴-博兴西路与泰河二街交叉口东南角,北京城建海梓府
43800,昌平-北七家立汤路与定泗路交汇东南角,望都新地
115000,丰台-岳各庄北桥东北角200米处,紫辰院
47500,房山-阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,观山源墅
4000,亦庄开发区-南海子公园北侧,紫禁壹院
26000,昌平-地铁昌平线南邵站向南500米,企业墅上区
40000,昌平-地铁昌平线南邵站向南500米,企业墅上区
140000,朝阳-朝阳公园南门 棕榈泉西侧,骏豪中央公园广场
48000,房山-长阳镇京良路西营路口向北900米,长阳光和作用
550,房山-长沟湿地公园南700米,V7荷塘月色
43000,顺义-新城白马路与通顺路交汇处向北1公里路西,中铁花溪渡
26000,延庆-沈家营镇东王化营村西侧,城建万科城
88000,丰台-南四环花乡桥南1公里，樊羊路与白盆窑路交汇处东北侧,首开华润城
187000,西城-西单时代广场中组部南300米路东,上国阙
29000,平谷-马昌营镇密三路管庄路口,紫贵御园
37000,平谷-岳各庄大桥西南侧洳河西畔,天润香墅湾1号
37500,大兴-大兴区地铁4号线首站天宫院站的保利春天里南侧,保利首开熙悦春天
43800,顺义-顺兴街11号院望尊园,北辰墅院1900
25000,怀来县-延庆石峡关景区西侧（京藏高速康庄65出口）,永恒长城里
56900,门头沟-门头沟永定镇石龙西路与三石路交叉口向西200米南侧,丽景长安
58000,昌平-京藏高速北安河出口北300米,领秀慧谷D区
65000,门头沟-高家园环路1号院,西山艺境华墅
80000,亦庄开发区-荣华中路与荣京西街交汇处西南角,国锐金
13500,武清-下朱庄街天和路东侧,首城南湖1
38000,武清-广贤路与致远道交口,英伦假日
59000,昌平-昌平地铁8号线或13号线霍营站北侧300米,首开国风美唐三期
33000,平谷-京平高速密三路出口南200米路西（北师大附中对面）,首城汇景墅
55000,房山-地铁房山线良乡大学城北站东北约1300米,北京城建国誉府
57000,丰台-王佐镇长青路南侧,领秀翡翠山
190000,海淀-万柳区域巴沟路华联购物中心西侧,万柳书院
48000,昌平-京藏高速30（昌平城区）出口向东，南环大桥东侧1000米,北京风景
20000,霸州-霸州市国税局南侧，106国道西侧；106国道与112国道交汇路口西北角,碧桂园南山郡
16000,永清-京台高速永清出口273省道东侧1.5公里,国瑞生态城
11000,涿州-农业高新技术产业示范区核心区内规划馆旁,桃源新都孔雀城
1500,朝阳-大屯路222号,八斗
28000,怀来县-八达岭高速沙城东出口东约3公里,京北恒大国际文化城
47500,通州-窑管路于通顺路交叉口向西500米,首开香溪郡
80000,门头沟-永定镇长安街西延线南约800米,电建地产泷悦长安
1550,密云-密溪路39号院,观唐云鼎
32000,房山-窦店镇京港澳高速公路提香草堂出口往西侧1.4公里,北京城建琨廷
23000,房山-长沟国家湿地公园南侧,长海御墅
22000,怀来县-官厅水库西侧,官厅泊爱蓝岛
72000,大兴-南海子公园西侧(南五环旧忠桥向南第二个红绿灯西300米),中国铁建花语金郡
62000,门头沟-西长安街沿线与六环交汇处西南1.2公里处,中国铁建万科翡翠长安
64500,门头沟-龙泉镇新桥大街西侧，区政府正对面,华远裘马四季
75000,大兴-南四环榴乡桥南1400米，蒲黄榆路东,国韵村
6150,丰台-南苑乡石榴庄(地铁宋家庄站D出口西150米),鲁能钓鱼台美高梅公馆
47900,房山-地铁良乡大学城站东二百米,远洋新仕界
28000,密云-密溪路33号(水库风景区内),阳光城君山墅
82000,海淀-西四环阜石路与上庄大街交汇处东南200米,金玉府
150000,东城-北京饭店北侧，霞公府街,霞公府
55000,顺义-京承高速8号出口路东,新世界丽樽
110000,门头沟-门头沟永定镇冯西园长安一号,长安壹号
65000,通州-京通高速耿庄出口向北500米,珠江东都国际
60000,大兴-东五环大羊坊桥东南角1.5公里处路北,和成Z园
3500,丰台-西五环永定河畔园博版块（地铁张郭庄站出站即到）,园博府
89000,大兴-南四环榴乡桥东南角800米,中冶德贤公馆
700,房山-长虹东路与阜盛大街交汇处,五矿名品
58000,房山-地铁房山线稻田站北行800米,中粮京西祥云
1400,顺义-奥运水上公园东侧,水色时光四区
50000,通州-朝阳北路东端与温榆河交汇处(北京物资学院北侧),8哩岛
1100,顺义-顺兴街11号院望尊园,北辰墅院1900
19000,涞水-世界地质公园4A级风景区十渡一渡,一渡新新小镇
21500,固安-106国道与工兴路交口向西200米路南,尚城国际
22000,香河-五一路与绣水街交叉口（好百年南门对面）,御湖湾
2350,大兴-大兴孙村镇空港生活区，盛顺街与海鑫南路交叉口西北角,华远和墅
39000,怀柔-怀柔镇红螺路39号,天恒半山世家
49000,顺义-牛栏山镇恒华西街2号院1号楼,恒华湖公馆
55000,丰台-王佐镇青龙湖公园东1500米,亿城燕西华府
81000,朝阳-北四环四元桥东北角（宜家家居斜对面）,顺景石上清泉
36000,顺义-顺恒大街东段北侧,鲁能7号别墅
160000,朝阳-朝阳公园南门 棕榈泉西侧,骏豪中央公园广场
110000,朝阳-东坝中街与单店北街交汇处西北侧,恒大华府
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
18500,武清-泗村店镇龙河路西侧益兰园,哈兰庄园
160000,朝阳-朝阳区霄云路8号,霄云路8号
80000,海淀-安宁庄东路（八达岭高速西三旗出口出向西第一个红绿灯向南即到）,上林溪
60000,朝阳-红坊路6号,江南山水
3100,通州-宋庄镇葛渠村南,格拉斯小镇
1800,房山-西六环青龙湖出口,北京半岛
19000,密云-密关路36号院,远大美域
100000,朝阳-紫玉东路1号(亚运村正北1.5公里处),紫玉山庄
23000,密云-果园街道西大桥路38号北院,懿品府小区
1500,延庆-京藏高速八达岭出口出西行500米,清凉盛景
120000,朝阳-香江北路向北1500米,中粮瑞府
1500,房山-阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,观山源墅
63000,顺义-高丽营镇于庄村春晖园温泉度假酒店北侧300米,春晖园随园
59000,门头沟-莲花池西路西延线潭柘寺隧道出口北侧,檀香府
76000,"丰台-丰台西四环看丹桥西,资和信百货西北侧",泽信公馆
69500,丰台-丰台长辛店生态城园博园南路路北500米,西山甲一号
52000,房山-良乡大学城西站地铁旁、刺猬河旁,天恒水岸壹号
65400,顺义-温榆河畔(机场杨林路口右转1公里),棕榈滩金棕榈
220000,朝阳-孙河京密路与顺黄路交叉口往西800米,泰禾北京院子
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
130000,丰台-西三环康庄东路于丰台东路交汇西南角,懋源钓云台
16000,武清-天津市武清区建设南路水城展馆向南约500米,鸿坤原乡半岛
32000,香河-香河京哈（京沈）高速香河东出口右转即达,大爱城
90000,朝阳-朝阳京承高速与北四环路交接处以东（近湖光中街）,湖光壹号
52400,房山-房山长阳清苑南街与汇商东路交汇处西北角,万年广阳郡九号
17300,涿州-冠云路与火炬南街交叉口南行300米,天地新城启承
21000,香河-新开大街（五一公园南侧）,溪语蓝湾（天琴湾二期）
4300,朝阳-弘燕路（东三环）山水文园东园,山水文园五期
39000,房山-长阳CSD办公楼南侧（京港澳高速长阳出口西1000米）,天资华府
150000,朝阳-建国路乙108号,梵悦108
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
52500,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
180000,朝阳-东三环京广桥东北角（CCTV正北50米）,首创天禧
74000,海淀-北清路永丰产业基地东侧,冠城大通百旺府
105000,丰台-东二环左安门桥龙潭湖向南800米,首开璞v公馆
930,平谷-南街与新平西路交叉口（永安家园北门）,中昂邑上原著
35000,昌平-兴寿镇京承高速G11出口向西怀昌路北侧,凯德麓语
3300,朝阳-京密路与京平辅路交叉口西行1.5公里,首开琅樾
120000,朝阳-望京南湖南路三帆中学对面,首开国风尚樾
55000,通州-嘉创二路与兴光二街路口西南角,润枫领尚
105000,海淀-四季青桥向西1.8公里(第四个红绿灯右转)向北500米路右,香山四季
6200,朝阳-东四环北路七号,东山condo
1920,朝阳-北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道
910,房山-阎村镇紫码路西行1500米,天恒乐墅
